file,label,type,mass1,mass2,spin1z,spin2z,distance,inclination,beta,pn_order,snr,mass_ratio
gr_000026.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
gr_000080.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
gr_000100.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
mod_A_000073.npy,1,A,30.0,25.0,0.0,0.0,500.0,0.0,0.4367328869500833,-1,50.0,1.2
mod_A_000051.npy,1,A,30.0,25.0,0.0,0.0,500.0,0.0,0.49857495441806854,-1,50.0,1.2
gr_000098.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
gr_000082.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
gr_000104.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
mod_B_000149.npy,1,B,30.0,25.0,0.0,0.0,500.0,0.0,0.5859338680646166,-2,50.0,1.2
gr_000134.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
mod_A_000025.npy,1,A,30.0,25.0,0.0,0.0,500.0,0.0,0.3680728047152652,-1,50.0,1.2
gr_000033.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
mod_A_000181.npy,1,A,30.0,25.0,0.0,0.0,500.0,0.0,0.3160145797881526,-1,50.0,1.2
mod_A_000194.npy,1,A,30.0,25.0,0.0,0.0,500.0,0.0,0.5774525607054186,-1,50.0,1.2
mod_B_000167.npy,1,B,30.0,25.0,0.0,0.0,500.0,0.0,0.7602471895256975,-2,50.0,1.2
gr_000000.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
gr_000019.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
mod_B_000092.npy,1,B,30.0,25.0,0.0,0.0,500.0,0.0,0.5248189999767315,-2,50.0,1.2
mod_B_000100.npy,1,B,30.0,25.0,0.0,0.0,500.0,0.0,0.76884823155193,-2,50.0,1.2
gr_000101.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
mod_A_000091.npy,1,A,30.0,25.0,0.0,0.0,500.0,0.0,0.44469103108287006,-1,50.0,1.2
mod_A_000185.npy,1,A,30.0,25.0,0.0,0.0,500.0,0.0,0.5625014826703825,-1,50.0,1.2
mod_A_000035.npy,1,A,30.0,25.0,0.0,0.0,500.0,0.0,0.4994552569776096,-1,50.0,1.2
gr_000024.npy,0,GR,30.0,25.0,0.0,0.0,500.0,0.0,0.0,0,50.0,1.2
